Part_Number,Descripcion,Categoria,Familia,Costo_Promedio,Ultimo_x0020_Costo,Fecha_Ultima_Compra
S11301599,Teclado Honeywell 6160 Alfanumerico Blanco,S11,30,25022,38.7313717617312,2017-10-19T00:00:00-03:00
S11301603,Sirena 30 W doble tono 12V sin gabinete,S11,30,10476,10476,2022-08-25T00:00:00-03:00
S11301686,"Receptor inalambrico DSC PC5132-433 compatible con PC5020, PC501X, PC1555, PC580",S11,30,20925,20925,2019-02-15T00:00:00-03:00
S11301788,Teclado Honeywell TUXEDO Touch Color con WIFI,S11,30,202203,320.298434415285,2018-07-03T00:00:00-04:00
S11301821,Teclado LCD DSC NEO alfanumerico HS2LCD,S11,30,71056,71000,2023-01-25T00:00:00-03:00
S11301822,Comunicador dual 3G-ethernet DSC Neo TL2803GE-LAT,S11,30,143000,143000,2022-12-23T00:00:00-03:00
S11301826,Control remoto llavero 4 botones DSC NEO PG9929,S11,30,16201,16200.9,2018-10-01T00:00:00-03:00
S11301828,PC Link DSC usb Firmware Pack,S11,30,29081,29080.5,2018-10-01T00:00:00-03:00
S11301832,Modulo Ampliacion expanzor DSC 8 Zonas NEO HSM2108,S11,30,21300,21300,2023-06-06T00:00:00-04:00
S11301833,Modulo Relay o PGM DSC 4 Salidas NEO HSM2204,S11,30,67663,67663,2023-06-06T00:00:00-04:00
S11301885,C4 Interface para Panel Alarma Intrusion no incluye los adaptadores de IP/232,S11,30,444230,554.4,2023-05-10T00:00:00-03:00
S11301954,Kit triple Transmisor y 2 receptores Secutag (paleta antena EAS),S11,30,226891,226890.7563,2019-08-09T00:00:00-04:00
S11301973,Teclado LCD DSC NEO Touch HS2TCHP,S11,30,131195,131195,2021-01-07T00:00:00-03:00
S11302142,Comunicador TCP/IP Ethernet DSC Neo modelo TL280e,S11,30,77541,77541,2021-04-29T00:00:00-03:00
S11302342,Modulo Ampliacion DSC 8 Zonas PC-5108 (expansora Serie Power),S11,30,29500,29500,2022-09-01T00:00:00-03:00
S11302560,Discador Telefonico Paravox VD710,S11,30,44610,48890,2013-02-04T00:00:00-03:00
S11302750,Teclado Touch K656 Paradox,S11,30,65772,65771.72,2020-10-21T00:00:00-03:00
S11302851,RESISTENCIA 10KOHMS CENTRAL ALARMA BOSCH DS3MX,S11,30,15,15.126,2023-01-30T00:00:00-03:00
S11302943,Receptor Bosch B810 para serie GV4,S11,30,65075,65075,2023-03-30T00:00:00-03:00
S11302952,Repetidor Bosch RFRP2,S11,30,111880,111880,2023-03-30T00:00:00-03:00
S12310211,Kit motor Centurion D10 Turbo corredera 1000Kg 0.83 m/s,S12,31,524575,497426,2023-02-14T00:00:00-03:00
S12310388,Motor FAAC 844  Corredera ER Z16,S12,31,454119,454119,2021-02-17T00:00:00-03:00
S12310458,Motor BFT Icaro corredera c/ central LEO con display 2000 Kg Uso continuo,S12,31,441700,441700,2021-02-23T00:00:00-03:00
S12311283,"Kit Motor BFT Deimos corredera BT 400KG Incl central Hamal, 4M crem acero y 2 tx",S12,31,164914,164914,2016-08-17T00:00:00-03:00
S12311518,Motor NICE Run 1200 Corredera Hi Speed,S12,31,666656,666656,2023-06-23T00:00:00-04:00
